genre,title_count,share,cumulative_share,entity_rank,hhi
International Movies,2752,0.1424209491279822,0.1424209491279822,1,0.06356690561974206
Dramas,2427,0.1256016146561093,0.2680225637840915,2,0.06356690561974206
Comedies,1674,0.08663251047973917,0.3546550742638307,3,0.06356690561974206
International TV Shows,1351,0.06991667960461626,0.4245717538684469,4,0.06356690561974206
Documentaries,869,0.04497231278786938,0.4695440666563163,5,0.06356690561974206
Action & Adventure,859,0.044454794804119444,0.5139988614604357,6,0.06356690561974206
TV Dramas,763,0.03948662216012006,0.5534854836205558,7,0.06356690561974206
Independent Movies,756,0.03912435957149511,0.5926098431920509,8,0.06356690561974206
Children & Family Movies,641,0.033172902758370856,0.6257827459504217,9,0.06356690561974206
Romantic Movies,616,0.03187910779899601,0.6576618537494178,10,0.06356690561974206
TV Comedies,581,0.03006779485587124,0.687729648605289,11,0.06356690561974206
Thrillers,577,0.02986078766237127,0.7175904362676602,12,0.06356690561974206
Crime TV Shows,470,0.02432334523624696,0.7419137815039071,13,0.06356690561974206
Kids' TV,451,0.02334006106712208,0.7652538425710291,14,0.06356690561974206
Docuseries,395,0.020441960358122443,0.7856958029291515,15,0.06356690561974206
Music & Musicals,375,0.019406924390622575,0.8051027273197741,16,0.06356690561974206
Romantic TV Shows,370,0.019148165398747606,0.8242508927185217,17,0.06356690561974206
Horror Movies,357,0.01847539201987269,0.8427262847383944,18,0.06356690561974206
Stand-Up Comedy,343,0.01775086684262278,0.8604771515810172,19,0.06356690561974206
Reality TV,255,0.01319670858562335,0.8736738601666406,20,0.06356690561974206
British TV Shows,253,0.013093204988873364,0.886767065155514,21,0.06356690561974206
Sci-Fi & Fantasy,243,0.012575687005123428,0.8993427521606374,22,0.06356690561974206
Sports Movies,219,0.011333643844123583,0.910676396004761,23,0.06356690561974206
Anime Series,176,0.00910831651399886,0.9197847125187599,24,0.06356690561974206
Spanish-Language TV Shows,174,0.009004812917248875,0.9287895254360088,25,0.06356690561974206
TV Action & Adventure,168,0.008694302126998912,0.9374838275630077,26,0.06356690561974206
Korean TV Shows,151,0.007814521554624023,0.9452983491176318,27,0.06356690561974206
Classic Movies,116,0.00600320861149925,0.951301557729131,28,0.06356690561974206
LGBTQ Movies,102,0.00527868343424934,0.9565802411633804,29,0.06356690561974206
TV Mysteries,98,0.005071676240749366,0.9616519174041297,30,0.06356690561974206
Science & Nature TV,92,0.004761165450499405,0.9664130828546291,31,0.06356690561974206
TV Sci-Fi & Fantasy,84,0.004347151063499456,0.9707602339181286,32,0.06356690561974206
TV Horror,75,0.003881384878124515,0.9746416187962531,33,0.06356690561974206
Anime Features,71,0.0036743776846245406,0.9783159964808776,34,0.06356690561974206
Cult Movies,71,0.0036743776846245406,0.9819903741655022,35,0.06356690561974206
Teen TV Shows,69,0.0035708740878745535,0.9855612482533768,36,0.06356690561974206
Faith & Spirituality,65,0.0033638668943745797,0.9889251151477514,37,0.06356690561974206
TV Thrillers,57,0.0029498525073746312,0.9918749676551261,38,0.06356690561974206
Movies,57,0.0029498525073746312,0.9948248201625007,39,0.06356690561974206
Stand-Up Comedy & Talk Shows,56,0.002898100708999638,0.9977229208715004,40,0.06356690561974206
Classic & Cult TV,28,0.001449050354499819,0.9991719712260002,41,0.06356690561974206
TV Shows,16,0.0008280287739998965,1.0,42,0.06356690561974206
