genre,rating_group,title_count,group_total,share_within_group,rank_within_group
Action & Adventure,Mature,421,859,0.490104772991851,1
Action & Adventure,Teen,361,859,0.420256111757858,2
Action & Adventure,Family,66,859,0.07683352735739232,3
Action & Adventure,Unknown / Unrated,10,859,0.011641443538998836,4
Action & Adventure,Kids,1,859,0.0011641443538998836,5
Children & Family Movies,Family,364,641,0.5678627145085804,1
Children & Family Movies,Kids,247,641,0.38533541341653665,2
Children & Family Movies,Teen,29,641,0.0452418096723869,3
Children & Family Movies,Mature,1,641,0.0015600624024961,4
Comedies,Teen,633,1674,0.3781362007168459,1
Comedies,Mature,613,1674,0.36618876941457584,2
Comedies,Family,341,1674,0.2037037037037037,3
Comedies,Kids,72,1674,0.043010752688172046,4
Comedies,Unknown / Unrated,15,1674,0.008960573476702509,5
Documentaries,Mature,348,869,0.4004602991944764,1
Documentaries,Teen,260,869,0.2991944764096663,2
Documentaries,Family,239,869,0.27502876869965476,3
Documentaries,Unknown / Unrated,22,869,0.02531645569620253,4
Dramas,Mature,1206,2427,0.4969097651421508,1
Dramas,Teen,885,2427,0.3646477132262052,2
Dramas,Family,302,2427,0.12443345694272764,3
Dramas,Unknown / Unrated,30,2427,0.012360939431396786,4
Dramas,Kids,4,2427,0.0016481252575195715,5
Independent Movies,Mature,539,756,0.7129629629629629,1
Independent Movies,Teen,154,756,0.2037037037037037,2
Independent Movies,Family,44,756,0.0582010582010582,3
Independent Movies,Unknown / Unrated,17,756,0.022486772486772486,4
Independent Movies,Kids,2,756,0.0026455026455026454,5
International Movies,Mature,1233,2752,0.4480377906976744,1
International Movies,Teen,1119,2752,0.40661337209302323,2
International Movies,Family,362,2752,0.13154069767441862,3
International Movies,Unknown / Unrated,36,2752,0.01308139534883721,4
International Movies,Kids,2,2752,0.0007267441860465116,5
International TV Shows,Mature,715,1351,0.5292376017764618,1
International TV Shows,Teen,472,1351,0.3493708364174685,2
International TV Shows,Family,158,1351,0.11695040710584752,3
International TV Shows,Kids,3,1351,0.0022205773501110288,4
International TV Shows,Unknown / Unrated,3,1351,0.0022205773501110288,5
Romantic Movies,Teen,295,616,0.4788961038961039,1
Romantic Movies,Mature,205,616,0.3327922077922078,2
Romantic Movies,Family,112,616,0.18181818181818182,3
Romantic Movies,Unknown / Unrated,4,616,0.006493506493506494,4
TV Dramas,Mature,435,763,0.5701179554390564,1
TV Dramas,Teen,269,763,0.35255570117955437,2
TV Dramas,Family,58,763,0.07601572739187418,3
TV Dramas,Unknown / Unrated,1,763,0.001310615989515072,4
