type,rating_group,title_count,group_total,share_within_group,rank_within_group
Movie,Mature,1856,4265,0.4351699882766706,1
Movie,Teen,1324,4265,0.3104337631887456,2
Movie,Family,731,4265,0.17139507620164127,3
Movie,Unknown / Unrated,217,4265,0.05087924970691676,4
Movie,Kids,137,4265,0.03212192262602579,5
TV Show,Mature,681,1969,0.345860843067547,1
TV Show,Teen,660,1969,0.33519553072625696,2
TV Show,Family,340,1969,0.17267648552564754,3
TV Show,Kids,270,1969,0.13712544438801422,4
TV Show,Unknown / Unrated,18,1969,0.009141696292534281,5
