date_added_year,rating_group,title_count,year_total,share_within_year
2008,Mature,2,2,1.0
2009,Mature,2,2,1.0
2010,Unknown / Unrated,1,1,1.0
2011,Family,5,13,0.38461538461538464
2011,Teen,5,13,0.38461538461538464
2011,Mature,3,13,0.23076923076923078
2012,Family,2,3,0.6666666666666666
2012,Mature,1,3,0.3333333333333333
2013,Unknown / Unrated,4,11,0.36363636363636365
2013,Mature,3,11,0.2727272727272727
2013,Family,2,11,0.18181818181818182
2013,Teen,2,11,0.18181818181818182
2014,Mature,12,24,0.5
2014,Family,9,24,0.375
2014,Teen,2,24,0.08333333333333333
2014,Kids,1,24,0.041666666666666664
2015,Mature,32,82,0.3902439024390244
2015,Family,16,82,0.1951219512195122
2015,Teen,16,82,0.1951219512195122
2015,Kids,13,82,0.15853658536585366
2015,Unknown / Unrated,5,82,0.06097560975609756
2016,Mature,177,429,0.4125874125874126
2016,Teen,104,429,0.24242424242424243
2016,Family,64,429,0.14918414918414918
2016,Kids,54,429,0.1258741258741259
2016,Unknown / Unrated,28,429,0.06526806526806526
2016,Other,2,429,0.004662004662004662
2017,Mature,513,1188,0.4318181818181818
2017,Teen,352,1188,0.2962962962962963
2017,Family,214,1188,0.18013468013468015
2017,Kids,81,1188,0.06818181818181818
2017,Unknown / Unrated,27,1188,0.022727272727272728
2017,Other,1,1188,0.0008417508417508417
2018,Mature,779,1649,0.4724075197089145
2018,Teen,504,1649,0.30563978168587025
2018,Family,265,1649,0.16070345664038813
2018,Kids,86,1649,0.05215281989084294
2018,Unknown / Unrated,15,1649,0.009096422073984234
2019,Mature,945,2016,0.46875
2019,Teen,629,2016,0.31200396825396826
2019,Family,327,2016,0.16220238095238096
2019,Kids,109,2016,0.05406746031746032
2019,Unknown / Unrated,6,2016,0.002976190476190476
2020,Mature,859,1879,0.4571580627993614
2020,Teen,561,1879,0.2985630654603513
2020,Family,302,1879,0.16072378924960085
2020,Kids,157,1879,0.08355508249068654
2021,Mature,679,1498,0.4532710280373832
2021,Teen,472,1498,0.315086782376502
2021,Family,203,1498,0.13551401869158877
2021,Kids,144,1498,0.09612817089452604
